"Dia";"Diesel A";"Gasolina 95"
"2021-08-09 00:00:00";1,2937;1,4665
"2021-08-10 00:00:00";1,2925;1,4667
"2021-08-11 00:00:00";1,2901;1,4641
"2021-08-12 00:00:00";1,2902;1,4649
"2021-08-13 00:00:00";1,2898;1,465
"2021-08-14 00:00:00";1,29;1,467
"2021-08-15 00:00:00";1,2904;1,4667
"2021-08-16 00:00:00";1,2915;1,467
"2021-08-17 00:00:00";1,2876;1,4669
"2021-08-18 00:00:00";1,2853;1,4659
"2021-08-19 00:00:00";1,2844;1,4642
"2021-08-20 00:00:00";1,2826;1,4636
"2021-08-21 00:00:00";1,2775;1,4592
"2021-08-22 00:00:00";1,2752;1,4569
"2021-08-23 00:00:00";1,2752;1,4565
"2021-08-24 00:00:00";1,2728;1,4524
"2021-08-25 00:00:00";1,275;1,4555
"2021-08-26 00:00:00";1,2782;1,4577
"2021-08-27 00:00:00";1,2794;1,4585
"2021-08-28 00:00:00";1,281;1,4599
"2021-08-29 00:00:00";1,2827;1,4599
"2021-08-30 00:00:00";1,2827;1,4591
"2021-08-31 00:00:00";1,2832;1,459
"2021-09-01 00:00:00";1,2874;1,4638
"2021-09-02 00:00:00";1,2891;1,4635
"2021-09-03 00:00:00";1,291;1,465
"2021-09-04 00:00:00";1,2957;1,4701
"2021-09-05 00:00:00";1,2983;1,4699
"2021-09-06 00:00:00";1,2974;1,4701
"2021-09-07 00:00:00";1,2979;1,4714
"2021-09-08 00:00:00";1,301;1,4751
"2021-09-09 00:00:00";1,2994;1,4764
"2021-09-10 00:00:00";1,2997;1,4774
"2021-09-11 00:00:00";1,2996;1,4777
"2021-09-12 00:00:00";1,2992;1,4777
"2021-09-13 00:00:00";1,2996;1,4775
"2021-09-14 00:00:00";1,3005;1,4831
"2021-09-15 00:00:00";1,3049;1,4848
"2021-09-16 00:00:00";1,3062;1,4861
"2021-09-17 00:00:00";1,3101;1,4874
"2021-09-18 00:00:00";1,3145;1,4876
"2021-09-19 00:00:00";1,3143;1,4875
"2021-09-20 00:00:00";1,3144;1,488
"2021-09-21 00:00:00";1,3189;1,4895
"2021-09-22 00:00:00";1,3206;1,4886
"2021-09-23 00:00:00";1,32;1,4864
"2021-09-24 00:00:00";1,3222;1,4863
"2021-09-25 00:00:00";1,3269;1,4883
"2021-09-26 00:00:00";1,3276;1,49
"2021-09-27 00:00:00";1,3283;1,4892
"2021-09-28 00:00:00";1,3313;1,4914
"2021-09-29 00:00:00";1,341;1,4978
"2021-09-30 00:00:00";1,3431;1,5002
"2021-10-01 00:00:00";1,3422;1,5016
"2021-10-02 00:00:00";1,3479;1,507
"2021-10-03 00:00:00";1,3481;1,5052
"2021-10-04 00:00:00";1,3487;1,506
"2021-10-05 00:00:00";1,354;1,5089
"2021-10-06 00:00:00";1,3607;1,513
"2021-10-07 00:00:00";1,3716;1,5219
"2021-10-08 00:00:00";1,3755;1,5226
"2021-10-09 00:00:00";1,3788;1,5223
"2021-10-10 00:00:00";1,3797;1,5212
"2021-10-11 00:00:00";1,38;1,5219
"2021-10-12 00:00:00";1,3853;1,5286
"2021-10-13 00:00:00";1,3868;1,5276
"2021-10-14 00:00:00";1,3899;1,5289
"2021-10-15 00:00:00";1,3928;1,5307
"2021-10-16 00:00:00";1,3973;1,5348
"2021-10-17 00:00:00";1,3986;1,5361
"2021-10-18 00:00:00";1,3985;1,537
"2021-10-19 00:00:00";1,4058;1,5437
"2021-10-20 00:00:00";1,4102;1,5486
"2021-10-21 00:00:00";1,4108;1,5499
"2021-10-22 00:00:00";1,4129;1,5536
"2021-10-23 00:00:00";1,4128;1,5523
"2021-10-24 00:00:00";1,4113;1,5522
"2021-10-25 00:00:00";1,4112;1,5525
"2021-10-26 00:00:00";1,4128;1,5527
"2021-10-27 00:00:00";1,417;1,5573
"2021-10-28 00:00:00";1,4202;1,5604
"2021-10-29 00:00:00";1,4194;1,5595
"2021-10-30 00:00:00";1,4189;1,5597
"2021-10-31 00:00:00";1,4186;1,5601
"2021-11-01 00:00:00";1,4191;1,5603
"2021-11-02 00:00:00";1,4198;1,5599
"2021-11-03 00:00:00";1,4221;1,5663
"2021-11-04 00:00:00";1,4236;1,5639
"2021-11-05 00:00:00";1,4216;1,5643
"2021-11-06 00:00:00";1,4182;1,5638
"2021-11-07 00:00:00";1,4181;1,5646
"2021-11-08 00:00:00";1,4184;1,5651
"2021-11-09 00:00:00";1,4199;1,5633
"2021-11-10 00:00:00";1,4205;1,5647
"2021-11-11 00:00:00";1,4199;1,5655
"2021-11-12 00:00:00";1,4202;1,5673
"2021-11-13 00:00:00";1,4192;1,5668
"2021-11-14 00:00:00";1,4186;1,5647
"2021-11-15 00:00:00";1,4184;1,5646
"2021-11-16 00:00:00";1,4165;1,564
"2021-11-17 00:00:00";1,4131;1,563
"2021-11-18 00:00:00";1,4135;1,5639
"2021-11-19 00:00:00";1,4142;1,5662
"2021-11-20 00:00:00";1,4124;1,564
"2021-11-21 00:00:00";1,4125;1,5623
"2021-11-22 00:00:00";1,4105;1,5624
"2021-11-23 00:00:00";1,4045;1,5596
"2021-11-24 00:00:00";1,4028;1,5572
"2021-11-25 00:00:00";1,405;1,5589
"2021-11-26 00:00:00";1,4084;1,5607
"2021-11-27 00:00:00";1,4076;1,5574
"2021-11-28 00:00:00";1,4052;1,5546
"2021-11-29 00:00:00";1,4048;1,554
"2021-11-30 00:00:00";1,3985;1,5463
"2021-12-01 00:00:00";1,3929;1,5428
